threshold,total_patches,positive_patches,negative_patches,passed_patches,pass_rate,patch_recall,patch_precision,patch_fp_rate,tp,fp,tn,fn
0.1,1420,716,704,911,0.6415492957746479,0.9916201117318436,0.7793633369923162,0.28551136363636365,710,201,503,6
0.15,1420,716,704,888,0.6253521126760564,0.9874301675977654,0.7961711711711712,0.2571022727272727,707,181,523,9
0.2,1420,716,704,865,0.6091549295774648,0.9832402234636871,0.8138728323699422,0.22869318181818182,704,161,543,12
0.25,1420,716,704,834,0.5873239436619718,0.973463687150838,0.8357314148681055,0.19460227272727273,697,137,567,19
0.3,1420,716,704,809,0.569718309859155,0.9650837988826816,0.8541409147095179,0.16761363636363635,691,118,586,25
0.35,1420,716,704,792,0.5577464788732395,0.9581005586592178,0.8661616161616161,0.15056818181818182,686,106,598,30
0.4,1420,716,704,764,0.5380281690140845,0.9441340782122905,0.8848167539267016,0.125,676,88,616,40
0.45,1420,716,704,739,0.5204225352112676,0.9259776536312849,0.8971583220568335,0.10795454545454546,663,76,628,53
0.5,1420,716,704,712,0.5014084507042254,0.8966480446927374,0.901685393258427,0.09943181818181818,642,70,634,74
