threshold,total_patches,positive_patches,negative_patches,passed_patches,pass_rate,patch_recall,patch_precision,patch_fp_rate,tp,fp,tn,fn
0.1,1420,716,704,881,0.6204225352112676,0.9846368715083799,0.8002270147559591,0.25,705,176,528,11
0.15,1420,716,704,860,0.6056338028169014,0.9818435754189944,0.8174418604651162,0.22301136363636365,703,157,547,13
0.2,1420,716,704,845,0.5950704225352113,0.973463687150838,0.8248520710059172,0.21022727272727273,697,148,556,19
0.25,1420,716,704,829,0.5838028169014085,0.9678770949720671,0.8359469240048251,0.19318181818181818,693,136,568,23
0.3,1420,716,704,806,0.5676056338028169,0.9608938547486033,0.8535980148883374,0.16761363636363635,688,118,586,28
0.35,1420,716,704,791,0.5570422535211268,0.952513966480447,0.8621997471554994,0.15482954545454544,682,109,595,34
0.4,1420,716,704,776,0.5464788732394367,0.9455307262569832,0.8724226804123711,0.140625,677,99,605,39
0.45,1420,716,704,757,0.5330985915492957,0.9399441340782123,0.8890356671070013,0.11931818181818182,673,84,620,43
0.5,1420,716,704,748,0.5267605633802817,0.9357541899441341,0.8957219251336899,0.11079545454545454,670,78,626,46
