threshold,total_patches,positive_patches,negative_patches,passed_patches,pass_rate,patch_recall,patch_precision,patch_fp_rate,tp,fp,tn,fn
0.1,1420,716,704,823,0.5795774647887324,0.9846368715083799,0.8566221142162819,0.16761363636363635,705,118,586,11
0.15,1420,716,704,792,0.5577464788732395,0.9804469273743017,0.8863636363636364,0.1278409090909091,702,90,614,14
0.2,1420,716,704,762,0.5366197183098591,0.9762569832402235,0.9173228346456693,0.08948863636363637,699,63,641,17
0.25,1420,716,704,742,0.5225352112676056,0.9678770949720671,0.9339622641509434,0.06960227272727272,693,49,655,23
0.3,1420,716,704,715,0.5035211267605634,0.9567039106145251,0.958041958041958,0.04261363636363636,685,30,674,31
0.35,1420,716,704,695,0.4894366197183099,0.9413407821229051,0.9697841726618706,0.029829545454545456,674,21,683,42
0.4,1420,716,704,679,0.478169014084507,0.9231843575418994,0.9734904270986745,0.02556818181818182,661,18,686,55
0.45,1420,716,704,655,0.4612676056338028,0.9008379888268156,0.9847328244274809,0.014204545454545454,645,10,694,71
0.5,1420,716,704,637,0.44859154929577466,0.8784916201117319,0.9874411302982732,0.011363636363636364,629,8,696,87
