threshold,total_patches,positive_patches,negative_patches,passed_patches,pass_rate,patch_recall,patch_precision,patch_fp_rate,tp,fp,tn,fn
0.1,1420,716,704,757,0.5330985915492957,0.9581005586592178,0.9062087186261559,0.10085227272727272,686,71,633,30
0.15,1420,716,704,737,0.5190140845070422,0.9511173184357542,0.9240162822252375,0.07954545454545454,681,56,648,35
0.2,1420,716,704,724,0.5098591549295775,0.9441340782122905,0.9337016574585635,0.06818181818181818,676,48,656,40
0.25,1420,716,704,706,0.4971830985915493,0.9343575418994413,0.9475920679886686,0.052556818181818184,669,37,667,47
0.3,1420,716,704,697,0.4908450704225352,0.9301675977653632,0.9555236728837877,0.04403409090909091,666,31,673,50
0.35,1420,716,704,682,0.4802816901408451,0.9203910614525139,0.966275659824047,0.032670454545454544,659,23,681,57
0.4,1420,716,704,678,0.47746478873239434,0.9175977653631285,0.9690265486725663,0.029829545454545456,657,21,683,59
0.45,1420,716,704,671,0.4725352112676056,0.9120111731843575,0.9731743666169895,0.02556818181818182,653,18,686,63
0.5,1420,716,704,662,0.46619718309859154,0.9078212290502793,0.9818731117824774,0.017045454545454544,650,12,692,66
